Filename,Quality_Label,MQ-3_R1 (kOhm)_mean,MQ-3_R1 (kOhm)_std,MQ-3_R1 (kOhm)_min,MQ-3_R1 (kOhm)_max,MQ-3_R1 (kOhm)_median,MQ-4_R1 (kOhm)_mean,MQ-4_R1 (kOhm)_std,MQ-4_R1 (kOhm)_min,MQ-4_R1 (kOhm)_max,MQ-4_R1 (kOhm)_median,MQ-6_R1 (kOhm)_mean,MQ-6_R1 (kOhm)_std,MQ-6_R1 (kOhm)_min,MQ-6_R1 (kOhm)_max,MQ-6_R1 (kOhm)_median,MQ-3_R2 (kOhm)_mean,MQ-3_R2 (kOhm)_std,MQ-3_R2 (kOhm)_min,MQ-3_R2 (kOhm)_max,MQ-3_R2 (kOhm)_median,MQ-4_R2 (kOhm)_mean,MQ-4_R2 (kOhm)_std,MQ-4_R2 (kOhm)_min,MQ-4_R2 (kOhm)_max,MQ-4_R2 (kOhm)_median,MQ-6_R2 (kOhm)_mean,MQ-6_R2 (kOhm)_std,MQ-6_R2 (kOhm)_min,MQ-6_R2 (kOhm)_max,MQ-6_R2 (kOhm)_median
LQ_Wine02-B02_R05.txt,LQ,3.141692190812721,2.682062620862166,0.9521,10.6285,1.7449,20.769364628975264,7.360584706501724,12.9725,35.913,17.5278,32.73410766784452,18.19554537985254,14.6627,75.0957,25.37755,9.613650989399293,4.824277587537458,5.28,22.7624,7.5136,15.534919858657243,6.129641493203424,8.9175,29.033,13.311350000000001,24.23610363957597,13.81595246107913,10.1941,57.0816,19.1339
LQ_Wine11-B02_R01.txt,LQ,2.130934240282685,2.09927564610313,0.4386,8.1104,1.05065,16.9498754770318,6.390396614669651,10.2904,30.6232,14.25245,27.016788869257944,16.044178227297113,11.53,64.7905,20.415599999999998,6.234046219081272,3.893126699546072,2.9087,17.0965,4.440250000000001,11.103802049469964,5.1398984590064085,5.8299,22.7299,9.107099999999999,18.32264526501767,11.477907944813449,7.2955,45.7125,13.757349999999999
LQ_Wine11-B01_R04.txt,LQ,2.792517597173145,2.530584421106097,0.7303,9.8751,1.4468999999999999,19.093103427561836,6.70321722023539,11.9646,33.0708,16.1577,29.945925724381624,16.660097537773037,13.5987,68.6915,23.1506,8.224832791519434,4.31460699327753,4.3341,20.0106,6.34345,13.787962261484099,5.58327517546333,7.8094,26.2295,11.76315,21.931229363957595,12.511751712731918,9.3074,51.5865,17.1864
LQ_Wine10-B05_R08.txt,LQ,3.065282190812721,2.443576664455879,1.0514,9.9588,1.8846,17.111840671378094,6.525782903006758,10.0233,31.4856,14.6602,24.254133568904596,14.91236627764534,9.6767,61.1505,18.35505,8.003599787985864,4.207775906500764,4.1203,19.5651,6.23435,11.331750070671378,5.257872461550903,5.9136,23.7727,9.4094,18.380760989399292,11.275362948667135,6.9547,46.1183,14.0656
LQ_Wine11-B02_R11.txt,LQ,3.539294664310954,2.0603764757490883,1.6756,9.4257,2.6334,19.74522526501767,6.835234704557853,11.926,34.5721,17.36345,28.011604169611314,15.282687196780934,11.8462,64.9011,22.54315,10.846676395759717,4.205443679819028,6.641,22.1424,9.2586,12.971514028268553,5.453951756113261,6.7319,25.5597,11.2944,20.735886466431094,11.365292065581082,8.4791,48.44,16.7985
LQ_Wine11-B01_R09.txt,LQ,2.58534222614841,2.1872319429159077,0.7941,8.8402,1.4598,17.130675547703177,6.684334871207805,10.1108,31.9374,14.2786,24.473521484098942,15.400173627061214,9.89,61.9901,17.91335,7.250596254416961,3.9386156398520513,3.7397,18.0941,5.5,10.985116501766784,5.374711124187905,5.4769,23.6604,8.9422,17.646878939929326,11.055813534839741,6.7303,44.7973,13.24545
LQ_Wine02-B03_R02.txt,LQ,3.535091378091873,2.8427284811080376,1.1862,11.4642,2.0717,22.282998833922264,7.141055866733961,14.3441,36.8026,19.46475,36.746483427561834,18.76516329359756,17.2495,79.0071,29.8789,9.214577314487633,5.003372663285661,4.7158,23.1715,7.1154,16.656830141342756,6.111040373820378,9.7364,29.8806,14.7081,27.470219858657245,14.472810673885121,11.8899,60.4867,22.6189
LQ_Wine11-B04_R02.txt,LQ,2.326513533568905,2.227736078911123,0.5544,8.6407,1.16025,18.21456749116608,6.953730679597266,11.0111,33.1833,15.084299999999999,28.197365583038867,16.823853422591124,12.1068,68.379,20.939,6.76134703180212,3.961311975664588,3.3362,17.7204,4.9693000000000005,12.982918975265017,5.655399976892833,7.0854,25.937,10.774799999999999,20.644836925795055,12.583508262981418,8.2412,51.1917,15.6546
LQ_Wine11-B02_R08.txt,LQ,4.495495053003534,3.3267917952453145,1.7713,13.8156,2.8036000000000003,21.894219752650177,7.30300393039091,14.0211,36.9537,18.78315,33.04936491166078,18.263091886747148,14.7299,75.6238,25.795949999999998,10.583845759717313,5.431281183322192,5.6203,25.6058,8.3003,15.397177208480564,6.608987119652079,8.3307,30.1616,12.9845,25.236501024734984,14.334818213682759,10.6066,59.3066,19.9589
LQ_Wine02-B02_R08.txt,LQ,4.248480282685512,3.3132001313607446,1.5611,13.4802,2.5500499999999997,21.258128657243816,6.9467433129738545,13.7587,35.3257,18.3305,32.20477116607774,17.63959023345344,14.5566,73.1716,25.2397,10.155043604240285,5.387271402942684,5.2103,25.0475,7.9438,15.03505448763251,6.382948724673899,8.1652,29.1922,12.7235,24.445941378091874,13.818348691281344,10.3284,57.1734,19.393549999999998
