Filename,Concentration_Label,Concentration_Value,MQ-3_R1 (kOhm)_mean,MQ-3_R1 (kOhm)_std,MQ-3_R1 (kOhm)_min,MQ-3_R1 (kOhm)_max,MQ-3_R1 (kOhm)_median,MQ-4_R1 (kOhm)_mean,MQ-4_R1 (kOhm)_std,MQ-4_R1 (kOhm)_min,MQ-4_R1 (kOhm)_max,MQ-4_R1 (kOhm)_median,MQ-6_R1 (kOhm)_mean,MQ-6_R1 (kOhm)_std,MQ-6_R1 (kOhm)_min,MQ-6_R1 (kOhm)_max,MQ-6_R1 (kOhm)_median,MQ-3_R2 (kOhm)_mean,MQ-3_R2 (kOhm)_std,MQ-3_R2 (kOhm)_min,MQ-3_R2 (kOhm)_max,MQ-3_R2 (kOhm)_median,MQ-4_R2 (kOhm)_mean,MQ-4_R2 (kOhm)_std,MQ-4_R2 (kOhm)_min,MQ-4_R2 (kOhm)_max,MQ-4_R2 (kOhm)_median,MQ-6_R2 (kOhm)_mean,MQ-6_R2 (kOhm)_std,MQ-6_R2 (kOhm)_min,MQ-6_R2 (kOhm)_max,MQ-6_R2 (kOhm)_median
Ea-C4_R05.txt,10.0%,10.0,6.534461060070671,4.396480962533119,2.8579,18.6146,4.300599999999999,32.14665731448763,8.433943777956374,22.6587,47.864,28.8357,56.054887208480565,26.791012169150758,27.3917,114.291,45.901250000000005,15.236786784452297,7.501771968044571,8.2761,35.8064,12.067599999999999,25.37489363957597,8.888519345125061,15.8059,42.6258,21.70115,41.50113971731449,22.720985783537223,18.217,92.4295,32.8099
Ea-C4_R06.txt,10.0%,10.0,5.535419328621908,3.9277611453419388,2.1947,16.3405,3.616,29.65897519434629,8.712050374641212,19.8973,46.345,26.177,49.277336254416966,25.816557429201595,22.2627,107.0201,39.259299999999996,13.30038074204947,6.636822081488722,7.0856,31.1235,10.592600000000001,22.65862971731449,9.083801347597797,13.1976,41.0976,18.55185,35.87868639575972,21.374731137066412,14.5527,85.1653,27.47405
Ea-C4_R07.txt,10.0%,10.0,5.591135441696113,4.018914324184822,2.2429,16.6402,3.5431,30.413886077738514,8.689522880661249,20.8634,46.8686,26.8697,51.32044409893993,26.33982351136415,23.778,109.6094,40.92675,13.125983533568904,6.9436899233781215,6.9155,32.1958,10.1017,23.843539116607776,8.87805676041033,14.0579,41.0851,19.9566,37.77379395759718,22.223100353369162,15.7505,88.5707,28.7894
Ea-C4_R08.txt,10.0%,10.0,5.248728091872791,3.8199611317174407,2.009,15.7881,3.3475,29.70375961130742,8.672208178083622,19.9592,46.3747,26.2576,49.43210812720847,25.80936935475139,22.2455,106.4853,39.435900000000004,12.618035265017667,6.340237484159905,6.6458,29.8868,10.0083,22.56081233215548,9.300702184300185,12.8799,41.9484,18.4968,36.18446222614841,21.375583150837723,14.5684,85.3678,27.8174
Ea-C4_R09.txt,10.0%,10.0,5.774541166077739,3.995826953445995,2.3641,16.8206,3.8686,30.854121307420495,8.6874211076939,20.8363,47.2479,27.61805,52.073699151943465,26.167356898525508,23.7534,110.3244,42.3032,14.091018586572439,6.8032078591227805,7.5622,32.334,11.40025,23.317537561837458,9.670111041875616,12.8833,43.2783,19.334400000000002,38.15809180212014,21.807699199956026,15.6879,88.4275,29.87495
Ea-C4_R10.txt,10.0%,10.0,5.5983037455830384,3.9823618133331626,2.3137,16.4963,3.5660499999999997,30.639311201413427,8.849006955159126,20.961,47.4315,26.963749999999997,51.11960826855124,26.557211826356493,23.6065,110.1705,40.7415,13.602203604240282,7.031760112717206,7.288,32.8408,10.6035,23.441851413427564,9.574124552187278,13.6506,42.6126,18.7468,37.370906607773854,22.06010238035021,15.5055,87.9645,28.58975
Ea-C4_R11.txt,10.0%,10.0,5.949217915194346,4.092463408924194,2.4954,17.1774,3.903,29.286688515901062,8.160598092399582,20.1721,44.9655,26.0689,48.96201908127208,24.74126270628659,22.9987,104.2495,39.413799999999995,14.590952120141344,7.209864122420686,7.8494,34.2985,11.66405,23.191437526501765,7.770231425070735,14.6698,38.6038,20.1565,36.55252911660778,20.76494969205037,15.5633,83.9994,28.556
Ea-C4_R12.txt,10.0%,10.0,6.993412014134275,4.681199101240489,3.1939,19.7483,4.52045,32.66123646643109,8.44024461188418,23.5426,48.0511,29.1802,57.79994282685512,27.16939943007971,29.3941,115.611,47.27375,17.056885406360426,8.04197853676083,9.6944,38.7194,13.673200000000001,26.22341819787986,8.081058111863038,17.6231,41.3996,22.8313,43.24500879858657,23.16059198820742,19.897,94.6211,34.32175
Ea-C5_R01.txt,15.0%,15.0,4.619151448763251,3.5345969915226645,1.7267,14.4238,2.7982,28.024732508833917,8.835758352591892,18.5806,45.1079,24.2152,44.94980116607774,25.25395085781928,19.7023,102.9084,34.6633,11.503275371024735,6.0180574040665515,6.1168,28.0293,8.8695,21.827174310954067,7.893454187893096,13.5718,37.4562,18.2974,32.53345971731449,20.69279756506419,12.7357,81.2707,24.025100000000002
Ea-C5_R02.txt,15.0%,15.0,4.062707809187279,3.224741475263183,1.3898,13.0499,2.4242999999999997,26.53628378091873,9.062086259660111,16.8358,44.458,22.68835,41.309442155477036,24.563709665887263,16.8781,98.8791,31.13595,10.440382826855124,5.604867491557355,5.4579,25.3414,7.9517,20.418874946996468,8.005096126266807,12.1036,36.663,16.8032,29.624146501766784,19.84315964157521,10.8675,77.6493,21.18645
